博多ラーメン膳 天神メディアモール店 #ramen 行列していた。安い割には、量が多いためか。 [URL] #30min,,,,,,
ヒルトン東京ベイなう。ランドの混雑から退避しました。ついでに昼寝モード！ [URL],,,,,,
美木良介さんの簡単な筋トレ方を きのー隙間があればマネしてやってたら 今朝 けっこー筋肉痛ぅ〜 (￣ー￣)  いーかも……(￣▽￣) ☆,,,,,,
[USER] お〜、やっぱり すごいエネルギーを感じるし、光の先は何があるんやろ？,,,,,,
[USER] 初めまして！ｻﾝｶﾞ応援してます。 釜揚げうどんマジおいしいですよね☆種類もあって制覇したくなります！午後もがんばってください,,,,,,
[USER] 見通しの良い所に出たら入りました。この辺で圏外になるとは、全然想定してなかったｗ,,,,,,
福島のぶゆき議員と、お友達になりました(^-^)/ [URL],,,,,,
[USER] 人のことバカにしすぎよー(´・ω・`)すみこちゃんかわいそーｗｗｗｗｗｗ,,,,,,
明日始業式おわってから4時間目まで夏休みの宿題テストやて(-｡-;  泣きたなるわホンマ(~_~;),,,,,,
佐賀大めっちゃ進められる(´Д` )あと福岡県立大も(´･_･`),,,,,,
[USER] ちょうど今ぼっち居酒屋で酔っ払いナウ(*'ω'*)w,,,,,,
スマホとタブレットに変えた～からﾂｲｰﾄ遅れましたーすいません！,,,,,,
ある物理の先生曰く法則性が見つからなきゃ実験中に考えないとダメって言うけど1年に高度なこと求めすぎだろorz,,,,,,
お茶してます (@ CAFE cyucue (キュキュ)) [URL],,,,,,
第2回神戸ICT医療ｲﾉﾍﾞｰｼｮﾝフォーラムをUstreamで閲覧中！,,,,,,
おはようございます！朝風呂入って、スッキリして出発準備開始です。今日は奥志賀林道通って草津を抜け、苗場を目指します(#^.^#) [URL],,,,,,
イベント展示の為に作品制作！頭の中のイメージに合わせて、備品調達！出来る範囲で精一杯頑張ろう、楽しもう！(*^^*)  [URL],,,,,,
富士山いつ見ても感動する＊ そしてもうすぐ夢の国☆*:.｡. o(≧▽≦)o .｡.:*☆ [URL],,,,,,
今日はパクパクりゅうじさんを見て来ました！ファイヤーショーもとても迫力がありましたね！私達も東柏ヶ谷に向けて頑張りましょう！,,,,,,
[USER] Facebookの写真がRihannaなのは何故だ？,,,,,,
フェス入れて26♪( ´▽｀)  #そろそろ年末だし今年行ったライブの本数晒そうぜ,,,,,,
とは言うものの、快適だけど、入力時間が劇的に短縮されるわけでは無いのが残念。ミニキーボードだけに全指を使って入力できるわけもなく、プレステのコントローラーみたいに持って親指で打つしかないしな。とは言え長文をフリッカー入力するストレスから解放してくれるだけの効果だけでもありがたい。,,,,,,
[USER] お疲れさまです〜(￣^￣)ゞ  あら？お仕事ですか？？,,,,,,
今年最後の。有馬記念も惨敗。 それにしても三冠馬ルフェーヴルは強かった。,,,,,,
みんな長い方がイイて言うけど、ショートのガッキーの方が好き♪(´ε｀ ),,,,,,
疲れて入ったスタバにまさかのダグラスさんwあなたも同じ気持ちでしたかw,,,,,,
鎌倉もお寺が沢山あっていいなぁ( ´ ▽ ` )散策したい〜 ☆,,,,,,
打倒箱根 登板10本終了～ スクワットより足にくるな… 【Run&Walk】2012/03/07 17:02, 3.95km, Time 31:15, 233kcal, [web][URL] #RunWalk,,
[USER] 今晩わ(^O^)／ New beetleの前期モデルですよ,,,,,,
#nabiscocup 野沢、梅崎はこの中では目立つけど代表や海外に行くにはもう一つ。何かストロングポイントを持つ事と、ファーストタッチのボールの置き方を良くしないとダメ。,,,,,,
[USER] 主催者発表四万人、ぐらいが最高でしたっけ？ 当時何度かデモに参加していましたが、六万という数字は一度も出なかったように思います。 ただ、あの時はマスコミが今より報道してくれてましたよね。,,,,,,
本日は午前で仕事が終わります。休みなく働きましたが、やっと冬休みです。1月6日まで休みです。雪かきしよう。,,,,,,
お前は私が食わしてく、と本気で言う私の親友（女。既婚）やっぱり鹿児島に嫁ぐか。笑,,,,,,
やばいガスつけっぱなしで来てしまった,,,,,,
遅昼＠ジャンクガレッジまぜそば☆美味しいよ！でも店がニンニク臭い… [URL]　しかしこれは胃にもたれるな(^^;),,,,,,
[USER] 何度、涙止まらなかったか。仕事への葛藤に、プラス、大事な家族が増えること。大事な家族とどう生きていくか、どう仕事していくかということ。そこにはいつも音楽がある。音楽‥ほんとに大好き！とさらに想いを強くした日でした( ´ ▽ ` )ﾉありがとう！！,,,,,,
[USER] これからそういう方々のありがたい言葉を頂戴します。 1時間も…。,,,,,,
[USER] フォローありがとうございます(๑╹ω╹๑ )わたしもこえ部やってますよおおお！仲良くして下さいねげへへ,,,,,,
アポロンと黒子は気になるから途中からだけど録画してる。でも謎の彼女Xは録画できない。絶対できない。親に見られたらって考えるとマジで無理。,,,,,,
松阪の佐川急便で伝票をもらう。 佐川急便の営業所が少なくて不便だ！,,,,,,
メンテ明けなので4ボーガ (@ スープカレー SHANTI w/ [USER] [URL],,,,,,
今日もこれからお勉強です。 (@ 東京理科大学 喫煙所) [URL],,,,,,
さくらんなう(*^^*)飲みたいけど明日仕事だしなぁΣ(ノд<),,,,,,
はじまりましたー！ [USER]  ×  [USER] [URL],,,,,,
海老と穴子の天丼。食後のもたれは以前より低減。  @ 海鮮居酒屋 寿司の磯松 [URL],,,,,,
高知は今のところめちゃくちゃ静かなんですが？朝は雨酷くなるかな？,,,,,,
[USER] 綺麗なみゆき姉さん！最近何事も上手くいきませぬ(｡-_-｡),,,,,,
今日はいっぱい買い物できた♪( ´▽｀)  久しぶりの買いものだから充実しててたのしいは‼ [URL],,,,,,
amazonのおすすめ 商品は、なかなかうまいところを突いてくるけど、楽天はどうでもいい商品ばっかなんだよね。,,,,,,
[USER] そんな休みボケの人にはむしろ、熱いカレーを顔目掛けてびゃ〜〜！！w,,,,,,
ソフトバンク日暮里店☆新製品情報☆ 『HONEY BEE』1月27日発売！ 女の子のためのキラ☆かわ♥スマホ！キラキラのコンパクトな防水使用です(^o^) お問い合わせはこちらまで→03-5604-3551 [USER] #くま [URL],,,,,,
[USER] mixiで直接言えよw でもって、オレは彼に職員になることを薦めますw,,,,,,
こーだいさん最後会＼(^o^)／ インまぐだら＼(^o^)／ [URL],,,,,,
Goodbye Kyusyu Go to Shizuoka [URL],,,,,,
東京都瓦礫受け入れ反対派に、石原慎太郎、黙れと一喝だって。やるじゃん。,,,,,,
来年のまゆちゃんぐを漢字7文字で表すと『恋愛関係絶好調』です。 [URL] #pOvOq,,,,,,
本日の晩御飯は鉄板焼。お好み焼き置かれたら火消された(爆) [URL] [URL],,,,,,
勤労感謝の日に勤労して散々なメにあいヤケ酒〜こんな日要らないと毎年思うのわアタシだけでわないと(-｡-; …,,,,,,
[USER] 帰ってまた出るの面倒でさー(>_<) 結局コメダでつぶしてるよ！予定通りに会いましょー！,,,,,,
今から一年の疲れをとりに行きます( ´ ▽ ` )ﾉ [URL],,,,,,
[USER] 一昨日、お姉さんが一人で火山ラーメンの激辛を注文してました。,,,,,,
奈良ホテル テーラウンジ ケーキセット せんゴヒャッケン [URL],,,,,,
一番好きな神社！世田谷八幡宮でん  @ 世田谷八幡宮 [URL],,,,,,
ちょっとだけちょうだいって言って わざといっぱいもらっちゃうと すねた顔して怒るんだけど ごめんって謝ると すぐに笑って許してくれるから つられて笑う  [URL],,,,,,
彼氏出来て嬉しいのに早速遠距離チックになってしまった（つд；*)寂しすぎて浮気してしまいそお( ノД`),,,,,,
関大に3-8で負けました。 久しぶりのフルやったけど謙太の母校は強いなぁ~( ；´Д｀),,,,,,
今、でかい袋が飛んできたところに、ちょうど見知らぬ兄やんが来たから、バサッと、こうー、漫画のようにバサッとなるの期待してたんだけど、てんで期待ハズレだったよ！(♯｀∧´)(笑),,,,,,
最近忙しい。客層悪い。中学生がミナミ出てきて呑みにくる時代ですよ、母さん。酒出すウチもどうかと思うが。,,,,,,
[USER] いいテスト勉強たい。涙でテスト用紙濡らしたら単位もらえる！,,,,,,
[USER] 車と着ぐるみに吸い取られて何も買えない(´Д` ),,,,,,
[USER] やすくんから昨日話聞いたよ(>_<)もっとあきのちゃんの事みてくれる人すぐ出てくるから(*^^*)、,,,,,,
一日ねらんだけでこの眠さ 人間に1番必要なんはやっぱ睡眠ば も～ねむた～てねむた～てしゃーない,,,,,,
[USER] 田舎と言えば田舎っぽいかなぁ  [URL]  [URL],,,,,,
扁桃腺の腫れで、声も出にくいし、倦怠感があるから会社休んじゃった。ただいま病院の待合室です～。,,,,,,
[USER] 俺も今日成績かえってきました(>_<)ちなみに高2っす～,,,,,,
[USER] そんなときもあるね(･･;)抜けたら楽になるょー^^,,,,,,
5時までお散歩しちゃったよ！二頭を洗い終え、お部屋に到着。 [URL],,,,,,
ガキはハッキリ言って嫌いです！ 子供自体は嫌いではありませんが、うるさいガキは嫌いです。ファミレスで騒がれてもどうって事無いですが、大衆酒場でやられると切れそうになります！そういう所にガキを連れてくる親が許せんのです！間違ってますか？,,,,,,
きゃぁぁぁ！ちょっと寝坊したのに更に電車反対方向のってた＝(;ﾟ;Д;ﾟ；;)⇒ サイテーさいあくー私が(笑),,,,,,
宿なう。茶入れました。あっ、自分以外は、飲まないそうです。けちではありません。 [URL],,,,,,
暖かい浜島にも雪が降りました(>_<)  まだまだ、寒い日が続きそうです！  @ シーサイドホテル鯨望荘 [URL],,,,,,
木の葉モール橋本に 遊びにきた☆  店長、ごちそうさまでした！,,,,,,
私もたのしかったぁ(=^x^=)またみんなで集まりたいね(*^_^*),,,,,,
疲れた〜(；´Д｀)肩壊してから楽しさ激減したけどまぁ楽しかったよね！今から奈良に帰る！寝る！ [URL],,,,,,
今日のまかないは栗パスタ～♪11月からメニューから消えるなんて信じられん(>д<)ｳﾜｰﾝ,,,,,,
ピーカンだー @ サエラスキーリゾート尾瀬にタッチ！ [URL],,,,,,
[USER] [USER] ルーブルよかった！パリミュージアムパスがオススメ！あとサモトラケのニケは必見☆☆,,,,,,
ついた (@ 国際展示場駅 (Kokusai-tenjijo Sta.) w/ 94 others) [URL],,,,,,
途中でも、震度5強(^_^;) 病院の3階に入院中‼ かなりやばい,,,,,,
[USER] 白子ですか〜テニスのあと、泳げそうですね！頑張って来てください☆彡,,,,,,
